"","ligand","receptor"
"476","Ccl8","Ackr2"
"477","Ccl8","Ackr4"
"478","Ccl8","Ccr1"
"479","Ccl8","Ccr2"
"480","Ccl8","Ccr3"
"481","Ccl8","Ccr5"
"482","Ccl8","Darc"
"483","Cd14","Itga4"
"484","Cd14","Itgb1"
"485","Cd24a","Selp"
"486","Cd34","Sell"
"487","Cd34","Selp"
"488","Cd40lg","Cd40"
"489","Cd40lg","Itgam"
"490","Cd40lg","Itgb2"
"491","Cd40lg","Traf3"
"492","Cd55","Cd97"
"493","Cd55","Cr1"
"494","Cd55","Emr2"
"495","Cd5l","Cd5"
"496","Cd70","Cd27"
"497","Cdh1","Cdh2"
"498","Cdh1","Egfr"
"499","Cdh1","Erbb3"
"500","Cdh1","Igf1r"
"501","Cdh1","Itgae"
"502","Cdh1","Itgb7"
"503","Cdh1","Klrg1"
"504","Cdh1","Lrp5"
"505","Cdh1","Ptprf"
"506","Cdh1","Ptprm"
"507","Cela3b","Chrm3"
"508","Cel","Cxcr4"
"509","Cfh","Itgam"
"510","Cfh","Sell"
"511","Cga","Fshr"
"512","Cga","Lhcgr"
"513","Cga","Sirpa"
"514","Cga","Tshr"
"515","Cgb8","Sirpa"
"516","Cgb","Lhcgr"
"517","Cgn","F11r"
"518","Cgn","Ocln"
"519","Cgn","Tgfbr1"
"520","Cgn","Tgfbr2"
"521","Chad","Itga2"
"522","Chad","Itgb1"
"523","Clcf1","Cntfr"
"524","Clcf1","Crlf1"
"525","Clcf1","Il6st"
"526","Clcf1","Lifr"
"527","Clec11a","Kit"
"528","Clec3a","Clec10a"
"529","Clec3a","Clec2b"
"530","Cntf","Cntfr"
"531","Cntf","Il6ra"
"532","Cntf","Il6st"
"533","Cntf","Lifr"
"534","Cntn2","Cntn1"
"535","Cntn2","Cntnap2"
"536","Cntn2","Nrcam"
"537","Cntn2","Nrp1"
"538","Cntn4","Ptprg"
"539","Col11a1","Ddr1"
"540","Col11a1","Itga2"
"541","Col11a1","Itgb1"
"542","Col14a1","Cd44"
"543","Col18a1","Gpc1"
"544","Col18a1","Gpc4"
"545","Col18a1","Itga5"
"546","Col18a1","Itgb1"
"547","Col18a1","Kdr"
"548","Col1a1","Cd36"
"549","Col1a1","Cd44"
"550","Col1a1","Cd93"
"551","Col1a1","Ddr1"
"552","Col1a1","Ddr2"
"553","Col1a1","Flt4"
"554","Col1a1","Itga1"
"555","Col1a1","Itga11"
"556","Col1a1","Itga2"
"557","Col1a1","Itga5"
"558","Col1a1","Itgav"
"559","Col1a1","Itgb1"
"560","Col1a1","Tmprss6"
"561","Col1a2","Cd36"
"562","Col1a2","Cd44"
"563","Col1a2","Cd93"
"564","Col1a2","Flt4"
"565","Col1a2","Itga1"
"566","Col1a2","Itga11"
"567","Col1a2","Itga2"
"568","Col1a2","Itga2b"
"569","Col1a2","Itgav"
"570","Col1a2","Itgb1"
"571","Col1a2","Itgb3"
"572","Col2a1","Ddr1"
"573","Col2a1","Itga1"
"574","Col2a1","Itga10"
"575","Col2a1","Itga2"
"576","Col2a1","Itga2b"
"577","Col2a1","Itgb1"
"578","Col2a1","Mag"
"579","Col2a1","Or1e1"
"580","Col2a1","Tnfrsf10a"
"581","Col3a1","Ddr1"
"582","Col3a1","Ddr2"
"583","Col3a1","Itga2"
"584","Col3a1","Itgb1"
"585","Col3a1","Mag"
"586","Col4a1","Cd47"
"587","Col4a1","Cd93"
"588","Col4a1","Itga1"
"589","Col4a1","Itga2"
"590","Col4a1","Itgav"
"591","Col4a1","Itgb1"
"592","Col4a1","Itgb8"
"593","Col4a2","Cd93"
"594","Col4a3","Cd47"
"595","Col4a3","Cd93"
"596","Col4a3","Itga1"
"597","Col4a3","Itga2"
"598","Col4a3","Itgav"
"599","Col4a3","Itgb1"
"600","Col4a4","Cd47"
"601","Col4a4","Cd93"
"602","Col4a4","Itga1"
"603","Col4a4","Itga2"
"604","Col4a4","Itgav"
"605","Col4a4","Itgb1"
"606","Col4a5","Cd47"
"607","Col4a5","Cd93"
"608","Col4a5","Itga1"
"609","Col4a5","Itga2"
"610","Col4a5","Itgav"
"611","Col4a5","Itgb1"
"612","Col4a6","Cd47"
"613","Col4a6","Cd93"
"614","Col4a6","Itga1"
"615","Col4a6","Itga2"
"616","Col4a6","Itgav"
"617","Col4a6","Itgb1"
"618","Col5a1","Itga1"
"619","Col5a1","Itgb1"
"620","Col5a1","Sdc3"
"621","Col5a2","Ddr1"
"622","Col5a2","Itga1"
"623","Col5a2","Itgb1"
"624","Col5a3","Sdc3"
"625","Col6a1","Itga1"
"626","Col6a1","Itga2"
"627","Col6a1","Itga6"
"628","Col6a1","Itgb1"
"629","Col6a2","Itga1"
"630","Col6a2","Itga2"
"631","Col6a2","Itgb1"
"632","Col6a3","Itga1"
"633","Col6a3","Itga2"
"634","Col6a3","Itgb1"
"635","Col7a1","Itga2"
"636","Col7a1","Itgb1"
"637","Col8a1","Itga1"
"638","Col8a1","Itga2"
"639","Col9a1","Mag"
"640","Col9a2","Mag"
"641","Col9a3","Mag"
"642","Colq","Musk"
